polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
180764,39,1,1,24,1,6,1,4,0,0,0,1,0,64
180765,83,1,2,29,5,7,0,26,7,1,0,3,2,64
180766,358,8,11,19,60,16,3,183,20,12,10,2,14,64
180767,81,1,2,8,5,1,4,37,7,0,2,0,14,64
180768,60,0,3,12,12,13,0,12,5,0,1,0,2,64
180769,277,1,8,50,21,9,4,128,25,0,6,5,20,64
180770,371,2,7,68,25,14,12,180,44,1,2,5,11,64
180771,231,0,3,40,22,18,7,74,39,0,12,3,13,64
180772,170,3,0,27,12,11,8,62,31,1,2,2,11,64
180773,92,4,0,19,18,3,1,27,14,1,1,1,3,64
180774,51,0,0,12,5,4,0,10,15,0,0,1,4,64
180775,53,0,0,16,7,4,3,13,4,0,1,0,5,64
180776,91,1,3,36,11,7,4,16,10,0,0,0,3,64
180777,155,0,1,35,4,20,5,52,19,0,1,0,18,64
180778,161,2,4,28,24,7,9,57,19,0,3,1,7,64
180779,344,4,12,47,35,10,6,181,20,2,10,2,15,64
180780,218,4,2,40,9,10,6,104,22,0,8,2,11,64
180781,254,1,7,14,38,8,8,131,26,1,5,5,10,64
180783,324,3,7,38,24,29,15,124,56,0,12,2,14,64
180784,132,2,1,26,15,7,6,44,18,0,3,2,8,64
180785,131,2,1,11,14,10,2,53,28,2,2,0,6,64
180786,95,1,2,11,18,6,1,39,6,1,2,5,3,64
180787,72,1,2,11,6,6,3,17,9,0,1,13,3,64
180788,34,0,0,10,3,5,2,10,3,0,1,0,0,64
180789,378,4,40,43,37,25,18,143,30,0,15,4,19,64
180790,42,0,0,9,7,4,1,13,5,0,0,2,1,64
180791,149,1,11,22,14,5,2,69,15,0,5,0,5,64
180792,118,2,5,15,3,9,3,56,12,1,1,2,9,64
180793,82,0,7,11,7,15,0,18,19,0,1,0,4,64
180794,177,3,9,24,11,16,5,69,32,0,2,3,3,64
180795,189,3,4,65,12,10,4,65,11,1,0,3,11,64
180796,246,5,10,50,14,12,0,105,31,0,7,1,11,64
180797,116,3,5,19,6,6,11,35,15,1,6,1,8,64
180799,768,15,54,60,76,46,17,395,33,14,27,5,26,64
180800,266,3,6,46,28,10,9,99,40,0,8,3,14,64
180801,130,3,6,20,13,5,4,60,12,1,2,3,1,64
180802,77,1,2,12,6,4,1,32,11,0,3,0,5,64
180803,39,0,1,8,3,4,4,12,4,0,0,3,0,64
180804,11,0,0,4,1,2,0,3,1,0,0,0,0,64
180805,40,4,2,9,5,6,0,3,2,1,0,1,7,64
180806,291,3,17,20,6,15,12,165,27,3,8,1,14,64
180807,233,5,14,16,23,16,9,105,29,0,6,1,9,64
180809,207,3,22,17,12,17,3,100,17,0,7,1,8,64
180810,123,3,6,24,9,6,4,44,22,0,0,0,5,64
180811,99,0,11,10,13,4,1,22,31,0,1,0,6,64
180812,389,4,20,30,26,15,6,222,30,3,18,2,13,64
180813,534,11,21,38,65,36,12,275,32,5,8,3,28,64
180814,252,4,10,24,14,17,5,102,54,2,6,2,12,64
180816,499,13,36,34,21,13,9,233,104,1,6,4,25,64
180817,276,11,11,22,18,13,3,117,48,2,11,2,18,64
180818,31,0,0,5,3,1,0,17,4,0,0,0,1,64
180819,56,4,5,14,3,8,0,11,6,0,1,0,4,64
180820,28,1,0,3,3,4,0,11,4,0,1,0,1,64
180821,620,15,36,65,75,25,3,281,62,1,9,4,44,64
180823,219,4,16,34,11,11,6,87,28,0,6,0,16,64
180824,102,5,7,15,12,1,1,39,17,0,0,1,4,64
180825,172,7,3,54,13,7,2,60,17,0,5,0,4,64
180827,420,1,20,54,13,8,5,191,88,1,12,6,21,64
180828,89,0,4,11,5,1,1,43,19,0,0,0,5,64
180829,569,11,33,43,47,24,6,256,110,4,9,1,25,64
180830,162,1,9,11,15,4,2,87,21,2,1,4,5,64
180831,62,1,2,4,14,3,2,23,3,0,1,0,9,64
180832,177,5,6,12,6,19,10,76,16,2,14,2,9,64
180833,293,2,14,12,16,5,6,170,44,0,2,0,22,64
180834,479,18,32,45,18,20,14,274,26,5,7,2,18,64
180835,374,4,17,54,15,10,12,170,62,1,8,1,20,64
180836,134,4,5,22,7,12,1,41,23,1,1,0,17,64
180837,280,10,11,35,10,5,3,123,58,1,7,0,17,64
180838,111,2,1,15,11,2,0,45,30,0,1,0,4,64
180839,104,3,5,17,2,3,2,44,16,0,3,0,9,64
180840,48,3,3,12,2,3,0,10,10,0,0,0,5,64
180841,397,4,32,25,11,18,6,231,29,1,18,2,20,64
180842,137,0,7,16,11,3,1,78,18,0,3,0,0,64
180843,90,0,5,9,12,2,2,41,8,0,2,1,8,64
180844,159,4,5,14,10,6,0,98,15,0,5,1,1,64
180845,111,3,2,8,11,14,0,43,26,0,2,0,2,64
180846,184,2,2,40,10,4,4,68,27,0,11,1,15,64
180847,91,4,3,12,8,7,3,24,15,0,2,1,12,64
180848,88,2,3,16,7,8,1,39,11,0,0,0,1,64
180849,218,1,13,25,7,12,3,98,40,0,6,0,13,64
180850,83,4,3,8,4,11,0,34,11,1,3,1,3,64
180851,169,1,14,35,5,7,5,69,20,0,8,0,5,64
180852,404,7,25,33,20,27,3,191,58,3,11,4,22,64
180853,139,2,1,12,6,2,6,82,13,0,4,0,11,64
180854,824,2,27,101,40,31,15,435,106,8,9,3,47,64
180855,135,7,7,22,10,5,1,31,43,1,1,0,7,64
180856,50,1,2,13,4,5,0,15,7,1,0,0,2,64
180857,643,8,28,39,28,32,9,359,91,1,13,1,34,64
180858,274,3,35,41,20,8,5,126,16,0,5,1,14,64
180859,66,1,1,8,2,0,0,46,6,0,1,0,1,64
180860,30,0,4,7,6,0,0,6,4,0,0,0,3,64
180861,236,6,18,22,23,12,4,86,40,6,3,0,16,64
180862,626,9,33,60,16,38,21,325,80,2,21,4,17,64
180863,868,3,55,71,80,44,14,488,33,3,34,18,25,64
180864,740,3,48,61,58,39,14,422,28,11,23,6,27,64
180865,814,6,42,83,52,29,10,497,39,7,23,14,12,64
180866,769,8,40,60,69,35,18,425,40,9,23,6,36,64
180867,837,12,58,56,61,32,12,472,45,8,32,16,33,64
180868,27,1,4,5,2,1,0,11,2,0,0,0,1,64
181265,301,5,22,26,43,18,6,150,11,7,6,1,6,64
181266,336,9,11,21,45,19,6,174,11,7,15,4,14,64
181267,1095,20,64,109,142,85,28,539,30,20,31,11,16,64
181268,913,23,51,69,132,49,22,473,25,19,29,9,12,64
181269,730,21,28,56,96,57,12,351,45,8,13,4,39,64
181270,994,18,57,90,123,51,15,526,24,22,34,10,24,64
181271,1198,27,63,120,156,76,25,597,39,23,36,9,27,64
181272,994,10,45,67,93,50,23,586,47,17,27,2,27,64
181273,818,6,57,83,128,40,23,378,23,19,31,10,20,64
181274,1074,20,49,94,121,54,27,577,46,17,30,21,18,64
181275,384,13,19,33,59,29,6,187,4,10,12,3,9,64
181276,717,12,39,57,143,57,15,314,10,21,21,9,19,64
181277,1024,19,61,60,238,64,19,472,18,21,30,8,14,64
181278,680,8,47,59,74,31,14,372,29,9,12,11,14,64
181279,859,17,51,81,117,57,15,439,27,10,17,7,21,64
181280,800,8,65,69,108,60,27,373,27,8,29,5,21,64
181281,1071,27,53,94,148,65,24,534,31,14,42,17,22,64
181282,1065,21,60,93,147,72,29,516,36,18,31,9,33,64
181283,765,9,60,63,145,35,19,344,17,15,25,14,19,64
181284,994,11,65,86,125,39,28,533,31,18,29,8,21,64
181285,890,26,35,75,95,41,24,489,34,11,25,3,32,64
181287,948,26,71,60,99,44,33,499,41,10,31,9,25,64
181288,624,12,33,70,86,25,26,294,24,7,23,9,15,64
181289,592,11,20,34,70,29,14,339,30,9,22,6,8,64
181290,688,17,23,56,73,42,16,375,24,8,34,6,14,64
181291,590,12,19,41,90,27,17,312,23,7,15,8,19,64
181292,718,9,34,69,79,40,25,385,32,4,16,9,16,64
181293,441,9,24,20,64,18,4,248,24,1,12,1,16,64
181294,571,6,22,60,60,21,12,319,35,4,9,4,19,64
181295,184,6,8,7,28,11,4,87,15,3,10,1,4,64
181296,360,17,11,22,54,12,9,194,21,2,7,3,8,64
181297,61,1,2,8,7,0,1,39,1,1,0,1,0,64
181298,61,2,4,5,8,5,1,27,8,0,0,1,0,64
181299,648,10,197,90,7,4,3,271,13,4,9,5,35,64
181464,53,1,0,5,6,7,2,17,5,0,1,7,2,64
180048,1105,8,48,104,43,97,25,638,53,11,44,12,22,65
180049,965,9,43,119,76,48,31,507,45,13,35,13,26,65
180050,887,11,54,87,74,53,24,472,32,15,32,14,19,65
180051,1170,16,62,118,55,58,37,668,44,19,59,10,24,65
180052,567,5,21,40,32,25,15,350,32,9,11,8,19,65
180053,707,7,42,42,47,33,29,373,66,3,28,6,31,65
180054,665,3,40,39,76,29,20,355,49,4,31,5,14,65
180055,170,1,11,13,9,6,6,101,19,0,1,2,1,65
180056,788,15,49,58,73,31,15,435,43,2,23,8,36,65
180057,70,0,3,7,5,15,7,17,13,0,1,0,2,65
180058,98,9,3,15,12,8,4,26,16,0,2,0,3,65
180059,602,9,11,34,44,17,12,372,58,1,12,5,27,65
180060,628,10,39,70,48,21,18,323,34,23,20,7,15,65
180061,573,10,27,39,38,27,19,333,38,11,16,3,12,65
180062,595,7,34,57,52,22,24,302,49,4,15,7,22,65
180063,232,16,6,13,18,20,6,100,26,1,11,3,12,65
180064,169,9,5,13,14,11,1,60,38,3,7,2,6,65
180065,346,9,12,34,25,12,7,194,12,0,14,17,10,65
180066,259,6,7,26,15,8,10,132,31,0,14,0,10,65
180067,760,14,20,42,39,38,29,453,79,2,23,7,14,65
180068,64,1,0,7,7,1,6,30,5,0,0,0,7,65
180069,52,3,0,7,1,4,2,21,9,0,1,0,4,65
180070,39,4,0,4,7,4,0,13,3,2,0,0,2,65
180071,135,4,1,9,8,6,11,52,34,0,3,1,6,65
180072,239,8,7,19,11,3,6,149,22,1,2,0,11,65
180073,45,3,0,6,6,1,0,21,8,0,0,0,0,65
180074,128,3,1,17,11,4,2,65,13,0,6,0,6,65
180075,185,3,12,12,15,13,3,95,26,0,3,1,2,65
180076,295,6,16,21,26,23,12,133,33,3,6,1,15,65
180077,111,2,3,9,8,5,2,52,23,0,0,2,5,65
180078,58,1,1,7,4,2,6,16,17,0,3,0,1,65
180079,165,4,8,15,25,3,7,70,17,0,7,0,9,65
180080,316,9,17,16,40,22,6,162,17,4,12,2,9,65
180081,256,5,4,17,34,23,4,116,27,6,7,2,11,65
180082,154,3,9,8,14,8,4,57,33,0,4,0,14,65
180083,66,6,1,1,10,7,1,19,15,0,3,0,3,65
180084,116,9,2,8,7,4,3,36,35,0,9,0,3,65
180085,69,3,0,9,3,2,2,34,12,0,1,0,3,65
180086,137,4,0,12,16,18,5,50,21,0,4,1,6,65
180087,49,2,2,5,4,3,3,18,7,0,2,0,3,65
180088,266,5,12,21,8,20,8,128,37,1,7,5,14,65
180089,174,3,7,18,8,7,7,76,34,0,7,1,6,65
180090,298,5,3,51,18,15,9,117,54,3,9,2,12,65
180091,57,2,0,4,4,10,1,15,5,0,6,2,8,65
180092,55,3,5,11,3,2,2,19,5,0,0,0,5,65
180093,317,8,15,26,19,11,12,119,75,0,15,1,16,65
180094,45,2,0,7,7,14,3,7,0,0,4,0,1,65
180095,204,11,1,32,18,4,7,70,45,0,5,3,8,65
180096,43,0,1,5,1,4,2,16,6,0,3,0,5,65
180097,74,1,0,20,4,9,3,25,7,1,0,1,3,65
180098,53,1,0,6,3,8,2,21,7,0,0,1,4,65
180099,93,3,0,22,8,4,4,33,18,0,0,0,1,65
180100,19,2,1,3,1,4,0,7,1,0,0,0,0,65
180226,213,7,15,32,12,18,9,82,22,1,6,0,9,65
180227,524,6,29,91,25,37,22,210,57,2,19,5,21,65
180228,204,11,3,30,18,81,3,40,9,0,2,0,7,65
180229,231,5,8,23,23,15,12,108,21,0,5,1,10,65
180230,136,2,6,20,17,3,3,49,24,1,4,0,7,65
180231,167,2,5,16,13,23,3,75,25,0,1,1,3,65
180232,139,7,7,18,7,15,10,42,22,0,4,1,6,65
180233,53,2,1,9,0,4,0,28,7,0,0,1,1,65
180234,99,2,4,15,3,8,1,53,7,0,2,0,4,65
180235,209,6,11,39,10,8,8,67,39,0,4,4,13,65
180236,283,4,7,37,13,29,13,141,22,0,9,0,8,65
180237,40,2,0,10,5,5,1,4,10,0,1,0,2,65
180238,63,1,0,18,6,8,7,15,5,0,0,0,3,65
180239,213,4,15,18,17,15,8,88,33,0,4,2,9,65
180240,80,4,1,8,19,4,0,31,10,0,0,0,3,65
180241,119,5,2,19,15,3,3,47,14,2,6,0,3,65
180242,53,3,0,5,12,4,1,23,3,0,0,1,1,65
180243,105,2,0,10,9,7,11,42,20,0,1,0,3,65
180244,1039,13,67,117,102,66,30,484,61,9,37,11,42,65
180245,652,7,40,62,47,34,29,332,41,5,27,8,20,65
180246,826,14,58,70,78,46,18,415,58,14,22,6,27,65
180247,256,3,12,36,29,11,9,105,24,0,10,4,13,65
180248,195,4,13,28,19,17,11,68,20,1,6,3,5,65
180249,68,5,2,12,7,6,2,23,7,0,2,0,2,65
180250,92,2,1,14,17,7,0,34,11,1,3,0,2,65
180251,146,5,5,12,9,14,6,61,22,1,1,0,10,65
180252,165,8,0,24,26,5,8,68,18,0,1,2,5,65
180253,141,9,3,18,10,6,5,57,29,0,0,0,4,65
180254,299,4,23,31,19,10,4,135,48,3,12,1,9,65
180255,103,8,1,11,18,2,0,27,26,0,7,0,3,65
180256,146,8,9,26,16,8,4,51,13,0,3,0,8,65
180257,330,7,10,53,28,16,12,123,61,0,4,2,14,65
180258,111,1,5,17,6,11,4,49,13,0,1,0,4,65
180259,146,4,3,16,9,7,10,53,31,0,3,0,10,65
180260,61,1,0,14,2,6,0,20,14,0,2,0,2,65
180261,360,4,14,22,24,19,10,183,53,1,11,2,17,65
180262,177,8,3,30,10,9,6,78,25,0,4,0,4,65
180263,55,3,7,18,1,2,3,14,5,0,2,0,0,65
180264,238,5,7,27,18,17,1,93,41,0,14,5,10,65
180265,132,2,3,22,9,6,0,63,21,0,1,0,5,65
180266,126,2,3,11,8,9,8,47,26,0,3,0,9,65
180267,88,6,3,19,3,12,1,25,10,0,4,0,5,65
180268,643,12,29,87,27,59,23,253,102,1,21,1,28,65
180269,44,4,2,2,3,14,6,12,1,0,0,0,0,65
180270,481,3,33,51,17,27,14,248,46,2,18,10,12,65
180271,599,12,26,85,26,46,14,312,45,5,7,0,21,65
180272,126,1,3,18,9,9,3,50,19,0,6,2,6,65
180273,165,2,6,31,10,9,4,59,27,2,2,2,11,65
180274,208,4,13,31,12,12,9,78,30,0,10,0,9,65
180275,212,8,11,36,6,8,4,104,25,0,4,1,5,65
180276,183,2,7,34,14,11,1,64,27,0,8,2,13,65
180277,94,1,6,23,7,5,10,22,11,0,1,1,7,65
180278,79,2,6,13,6,3,5,15,24,0,1,1,3,65
180279,302,9,13,45,19,10,7,129,41,1,8,3,17,65
180280,78,2,1,15,8,8,4,24,8,1,2,0,5,65
180281,58,4,3,19,4,5,3,12,4,0,0,0,4,65
180282,239,5,9,59,10,17,6,101,8,0,4,2,18,65
180283,240,4,2,30,28,19,4,127,15,1,1,1,8,65
180284,37,1,0,8,4,3,1,14,4,0,0,0,2,65
180285,374,8,36,28,19,28,22,183,22,2,8,4,14,65
180286,92,4,0,23,6,6,2,38,7,0,1,0,5,65
180287,178,2,5,35,8,10,4,84,10,0,12,2,6,65
180288,71,2,0,17,10,12,1,18,3,0,5,0,3,65
180289,114,3,2,15,10,8,3,29,30,0,6,1,7,65
180290,404,3,28,35,40,20,11,175,43,1,20,8,20,65
180291,43,1,2,9,2,3,1,18,5,0,0,0,2,65
180628,195,2,14,23,12,9,12,58,38,0,9,2,16,65
180629,143,6,4,6,11,12,10,62,25,0,2,0,5,65
180630,179,4,21,14,4,6,4,93,19,1,3,2,8,65
180631,137,3,7,22,14,6,3,61,14,0,0,2,5,65
180632,75,7,1,3,3,1,2,31,15,0,2,0,10,65
180633,287,4,8,28,20,23,9,116,54,0,4,3,18,65
180634,193,19,1,14,21,20,7,59,40,0,8,1,3,65
180635,209,8,5,19,14,3,7,88,51,0,5,1,8,65
180636,300,9,16,24,13,12,10,134,60,1,6,0,15,65
180637,192,2,11,34,10,15,6,61,41,2,0,3,7,65
180638,460,7,31,45,27,28,15,195,66,4,14,1,27,65
180639,209,6,9,16,15,14,7,82,39,2,5,1,13,65
180640,138,6,1,8,13,6,17,46,24,1,5,0,11,65
180641,254,2,8,9,5,10,15,123,57,1,6,2,16,65
180642,131,3,3,7,14,11,6,33,38,1,1,1,13,65
180643,81,1,3,7,12,5,1,42,6,1,0,0,3,65
180644,76,2,2,7,9,2,2,40,9,0,0,1,2,65
180645,140,5,3,7,15,8,0,50,36,0,1,2,13,65
180646,461,1,21,34,29,17,13,242,63,3,18,6,14,65
180647,152,10,6,3,13,14,7,64,26,1,1,1,6,65
180648,262,1,16,13,20,29,20,81,57,0,9,3,13,65
180649,179,13,2,28,15,8,5,65,24,4,3,1,11,65
180650,74,5,0,10,11,7,2,19,15,0,0,1,4,65
180651,138,5,4,14,7,1,1,69,15,0,9,1,12,65
180652,46,3,0,3,2,4,0,23,10,0,0,1,0,65
180653,289,8,12,22,9,14,10,122,68,0,8,4,12,65
180654,100,5,5,11,17,0,0,30,20,0,0,1,11,65
180655,156,4,11,16,8,17,10,47,26,0,10,4,3,65
180656,97,7,3,3,12,12,3,30,22,0,1,0,4,65
180657,217,5,6,10,30,11,10,86,33,3,10,1,12,65
180658,199,9,6,12,13,6,10,88,27,3,11,0,14,65
180659,119,5,3,11,7,6,3,55,14,1,6,1,7,65
180660,70,4,4,6,9,4,4,17,22,0,0,0,0,65
180661,74,3,3,5,4,4,1,31,10,0,8,3,2,65
180662,98,0,0,5,22,6,9,30,17,2,0,2,5,65
180663,147,2,6,16,10,12,10,50,27,0,3,1,10,65
180664,149,4,6,7,5,9,15,53,41,0,1,0,8,65
180665,236,4,15,21,7,2,8,125,38,0,4,1,11,65
180666,138,5,2,15,3,17,7,67,14,0,5,0,3,65
180667,223,3,7,18,9,16,7,119,26,0,7,1,10,65
180668,157,4,0,20,6,8,2,83,28,0,2,1,3,65
180669,107,0,7,11,12,4,2,44,18,1,3,0,5,65
180670,116,2,9,10,17,4,1,54,5,0,7,0,7,65
180671,186,6,13,9,11,6,15,77,34,0,2,1,12,65
180672,603,7,31,31,26,17,19,370,50,6,26,3,17,65
180673,234,5,6,16,11,15,4,114,40,3,8,1,11,65
180674,129,16,1,7,7,2,1,53,32,1,1,0,8,65
180675,329,6,15,16,12,24,5,184,37,5,6,3,16,65
180676,178,13,7,7,14,6,1,78,35,0,6,1,10,65
180677,300,21,21,23,25,15,7,107,53,0,7,3,18,65
180678,367,14,12,13,26,13,14,170,77,6,13,0,9,65
180679,558,11,46,36,26,37,17,279,56,5,18,5,22,65
180680,83,1,4,11,4,4,5,30,13,1,4,0,6,65
180681,246,6,8,22,14,17,12,104,44,0,5,3,11,65
180682,84,4,5,7,6,4,2,27,20,0,3,1,5,65
180683,162,11,5,8,12,11,8,62,24,0,8,1,12,65
180684,235,9,16,24,8,10,4,114,35,3,7,1,4,65
180685,154,6,6,7,8,19,6,49,44,1,4,0,4,65
180686,184,5,10,6,17,6,4,72,46,0,3,0,15,65
180687,126,6,2,16,0,4,9,52,29,0,2,0,6,65
180688,106,4,1,16,7,4,4,45,19,0,2,0,4,65
180689,268,4,14,15,12,15,5,118,62,2,8,6,7,65
180690,462,3,22,33,21,23,17,254,45,3,19,6,16,65
180691,213,7,10,17,13,2,3,117,26,0,4,1,13,65
180692,212,6,10,4,20,16,11,86,42,1,1,1,14,65
180693,149,3,6,18,5,4,3,70,30,0,8,0,2,65
180694,423,5,14,17,20,31,22,195,84,0,13,4,18,65
180695,271,6,12,28,11,13,9,100,62,0,9,5,16,65
180696,212,6,7,23,28,7,5,67,46,1,3,1,18,65
180697,220,6,6,12,15,35,6,96,21,1,2,3,17,65
180698,28,1,1,0,4,3,3,5,4,0,0,4,3,65
180699,553,12,26,35,37,36,17,290,41,10,29,5,15,65
180700,98,6,4,4,5,6,2,30,33,1,3,0,4,65
180701,752,11,48,52,29,39,23,453,43,6,19,8,21,65
180702,197,10,12,16,14,5,6,89,33,0,2,1,9,65
180703,232,3,7,21,13,12,6,105,43,3,5,2,12,65
180704,289,4,7,24,30,11,17,121,34,1,14,5,21,65
180705,1084,13,57,40,82,37,30,664,68,1,39,18,35,65
180706,872,7,44,26,37,49,21,562,46,8,38,12,22,65
181066,139,7,2,17,6,16,6,44,23,0,4,8,6,65
181067,43,2,2,5,1,12,2,12,5,0,1,0,1,65
181068,79,3,9,18,4,4,1,27,6,1,2,2,2,65
181069,89,5,4,14,11,4,1,37,11,0,0,0,2,65
181070,107,6,3,21,4,11,6,29,21,0,2,2,2,65
181071,202,10,2,29,26,15,4,68,23,5,4,3,13,65
181072,78,1,4,10,8,8,2,27,13,0,0,3,2,65
181073,38,0,0,12,2,2,5,6,4,0,1,5,1,65
181074,84,1,0,19,7,5,6,27,12,1,3,2,1,65
181075,54,3,0,7,4,9,3,12,12,0,0,1,3,65
181076,112,7,2,15,19,8,3,31,20,0,3,2,2,65
181077,376,8,10,84,28,16,15,142,36,0,7,8,22,65
181078,98,6,1,24,9,4,0,35,9,1,1,6,2,65
181079,208,6,8,28,13,8,2,88,22,0,13,10,10,65
181080,41,3,1,3,5,2,1,12,11,1,0,0,2,65
181081,104,4,1,21,6,8,3,32,22,0,1,0,6,65
181082,278,7,10,43,14,17,8,114,44,2,6,1,12,65
181083,196,8,5,29,8,14,2,94,21,0,8,2,5,65
181084,114,3,3,17,20,7,1,41,17,2,0,2,1,65
181085,139,2,3,24,16,6,8,39,26,0,2,3,10,65
181086,218,0,6,29,18,7,4,120,22,0,1,10,1,65
181087,47,7,2,12,5,4,0,6,7,0,1,3,0,65
181088,82,4,3,15,10,5,2,24,9,0,4,2,4,65
181089,197,5,8,42,5,14,8,72,28,2,2,1,10,65
181090,53,1,0,12,10,6,1,16,5,0,0,0,2,65
181091,252,4,10,33,15,7,9,103,58,0,5,1,7,65
181092,227,2,6,37,15,12,8,89,40,3,4,3,8,65
181093,117,6,6,23,11,7,4,28,21,0,0,7,4,65
181094,114,2,0,23,6,11,19,29,10,0,0,5,9,65
181095,159,6,5,22,15,7,4,57,34,0,1,3,5,65
181096,95,5,1,11,17,4,1,36,13,0,0,3,4,65
181097,99,6,1,7,8,9,3,35,13,0,2,7,8,65
181098,180,7,6,20,18,5,7,82,19,3,1,6,6,65
181099,283,8,0,24,23,10,8,146,40,0,7,8,9,65
181100,43,3,1,8,3,7,2,7,4,0,0,7,1,65
181101,182,4,1,27,19,10,4,55,41,1,5,1,14,65
181102,368,7,25,57,39,14,13,132,39,1,7,16,18,65
181103,87,2,1,11,1,1,1,57,4,0,2,0,7,65
181104,101,3,1,19,5,6,2,34,12,0,2,13,4,65
181105,225,6,15,33,14,11,11,77,31,2,7,6,12,65
181106,90,4,7,16,11,5,8,23,9,1,3,0,3,65
181107,90,2,0,25,3,6,5,31,11,0,5,1,1,65
181108,163,2,6,19,12,6,6,64,31,0,7,2,8,65
181109,69,6,1,7,4,9,1,23,11,0,1,3,3,65
181110,127,3,4,23,12,9,4,43,22,1,1,2,3,65
181111,100,5,1,15,12,8,1,36,19,0,2,0,1,65
181112,534,3,48,68,31,30,21,266,24,5,17,11,10,65
181113,544,3,48,81,40,40,10,263,22,4,18,10,5,65
181114,455,6,37,50,43,42,14,202,27,3,15,8,8,65
181115,213,5,6,30,16,15,6,96,19,2,5,2,11,65
181116,136,4,3,18,6,7,1,67,20,0,2,3,5,65
181117,66,2,1,8,8,9,4,15,12,1,2,2,2,65
181118,27,0,3,7,0,0,3,4,7,0,2,0,1,65
181311,886,9,72,51,60,54,31,470,43,11,44,16,25,65
181312,505,7,27,41,48,33,13,250,25,6,36,7,12,65
181313,516,8,24,33,44,24,12,303,22,5,27,6,8,65
181314,890,5,44,57,56,42,21,516,46,4,50,16,33,65
181315,1070,9,78,44,135,94,40,540,10,23,56,12,29,65
181316,937,10,93,55,139,57,41,424,22,11,40,15,30,65
181317,756,5,52,20,64,55,19,415,29,15,31,21,30,65
181318,851,6,65,45,138,54,20,398,23,5,55,13,29,65
181319,616,3,48,43,35,34,20,340,35,4,29,12,13,65
181320,1082,6,89,53,78,61,22,632,54,11,47,10,19,65
181321,390,1,33,26,24,16,12,214,33,5,12,5,9,65
181322,944,16,80,51,74,55,35,481,35,19,54,19,25,65
181323,848,13,68,51,70,64,24,419,37,20,46,7,29,65
181324,815,5,67,67,57,62,18,422,32,15,43,9,18,65
181325,829,11,57,49,70,55,27,454,33,12,34,11,16,65
181326,468,3,35,26,39,27,10,251,26,14,19,10,8,65
181327,665,4,47,28,45,37,20,385,21,18,24,11,25,65
181328,1042,9,60,78,113,68,34,530,46,12,51,11,30,65
181329,930,5,72,44,100,58,25,474,53,7,46,21,25,65
181330,733,5,62,37,56,52,18,375,37,18,42,14,17,65
181331,855,8,57,59,61,57,24,436,36,15,45,25,32,65
181332,727,7,64,34,78,50,23,342,24,13,48,15,29,65
181333,1020,14,85,77,104,91,37,470,42,15,45,11,29,65
181334,1010,8,94,78,89,96,35,437,52,10,64,21,26,65
181335,510,4,44,38,52,41,13,222,23,10,46,9,8,65
181336,361,3,20,13,26,12,18,205,34,7,13,2,8,65
181337,156,3,7,9,14,7,10,77,8,1,8,2,10,65
180155,348,4,15,40,39,24,8,175,10,2,22,2,7,66
180156,536,4,27,36,34,39,9,324,15,8,17,13,10,66
180157,426,4,27,51,28,48,11,165,36,6,24,12,14,66
180158,502,8,34,61,45,31,8,255,19,4,15,5,17,66
180159,186,1,12,17,7,8,7,77,36,4,9,2,6,66
180160,40,0,2,6,3,6,3,14,2,0,2,0,2,66
180161,111,1,2,22,2,10,2,50,10,0,7,0,5,66
180162,128,2,6,21,7,6,1,60,12,0,3,4,6,66
180163,261,5,3,55,17,13,1,121,21,4,5,2,14,66
180164,94,1,6,12,10,10,3,34,6,0,3,4,5,66
180165,415,1,28,65,27,25,7,188,25,5,22,16,6,66
180166,182,0,7,43,8,19,3,71,16,0,8,3,4,66
180167,120,0,11,10,4,19,2,33,28,0,2,3,8,66
180168,124,1,0,11,3,33,2,40,24,0,7,0,3,66
180169,248,8,5,37,14,21,11,94,36,0,13,6,3,66
180170,171,0,5,29,12,6,6,69,28,0,7,1,8,66
180171,277,7,26,30,14,19,10,122,32,3,4,1,9,66
180172,100,0,2,17,3,8,0,32,28,0,1,2,7,66
180173,95,0,7,17,13,5,2,35,5,2,4,1,4,66
180174,155,1,4,20,6,10,11,57,37,0,2,2,5,66
180175,116,2,2,16,9,3,4,53,17,2,1,2,5,66
180176,143,2,6,14,10,12,5,71,12,0,4,1,6,66
180177,254,1,11,48,15,15,3,86,35,7,8,13,12,66
180178,195,3,26,21,10,14,3,85,12,0,8,0,13,66
180179,80,0,3,14,4,3,5,38,5,0,2,0,6,66
180180,142,0,14,26,5,15,6,56,15,0,2,0,3,66
180181,46,0,3,12,2,4,5,15,3,0,1,1,0,66
180182,440,3,19,44,37,29,5,228,36,1,9,9,20,66
180183,72,0,3,21,4,2,2,23,10,0,1,0,6,66
180184,139,0,3,8,4,18,2,77,20,0,5,1,1,66
180185,16,1,0,2,0,1,1,9,1,0,1,0,0,66
180186,708,6,46,42,50,59,26,333,53,5,34,17,37,66
180187,915,7,62,65,48,65,27,434,79,13,46,5,64,66
180188,728,6,56,47,48,79,21,337,48,2,40,7,37,66
180189,452,5,28,23,34,42,14,211,48,6,17,4,20,66
