polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
51576,27,1,1,3,2,2,5,9,1,2,0,1,0,11
51578,47,1,4,6,1,5,5,19,0,0,3,2,1,11
51579,137,1,7,12,5,11,32,53,10,0,2,1,3,11
51580,33,0,0,4,1,2,10,11,3,0,1,0,1,11
51581,367,21,15,53,17,17,52,100,16,2,7,7,60,11
51582,64,1,7,6,4,6,9,18,6,0,3,1,3,11
51583,15,0,1,4,0,1,2,3,0,1,1,0,2,11
51584,83,0,5,9,6,1,19,27,3,0,7,0,6,11
51585,10,0,0,2,0,2,3,2,0,0,1,0,0,11
51586,22,0,0,3,2,1,7,9,0,0,0,0,0,11
51669,1191,23,81,57,51,166,277,339,6,35,101,21,34,11
51671,44,2,4,3,1,2,10,20,1,0,0,0,1,11
51672,43,1,5,1,5,3,9,12,5,0,2,0,0,11
51673,864,5,58,73,27,94,194,294,13,18,52,19,17,11
50125,291,1,11,38,12,21,55,116,16,1,8,3,9,12
50126,951,8,71,104,52,60,202,389,24,4,11,9,17,12
50127,533,12,24,40,26,38,108,232,18,8,12,9,6,12
50128,465,10,27,38,15,31,105,189,12,4,15,10,9,12
50129,516,14,33,35,12,47,162,155,11,6,24,5,12,12
50138,346,3,13,98,6,34,62,82,15,2,9,4,18,12
50139,1120,23,93,85,41,103,200,406,26,11,46,32,54,12
50140,1078,42,107,88,41,122,170,383,24,10,46,17,28,12
50141,1183,13,102,97,54,136,237,401,25,13,57,26,22,12
50142,951,42,49,63,15,265,173,221,34,5,28,10,46,12
50143,309,3,25,28,10,16,57,137,11,1,7,3,11,12
50144,371,4,25,42,8,19,62,144,42,1,10,3,11,12
50146,236,4,15,41,5,10,58,71,13,1,5,3,10,12
50147,222,5,8,20,6,23,48,70,27,1,5,3,6,12
50148,82,3,1,5,3,12,18,23,5,0,3,5,4,12
50150,207,8,10,26,11,14,40,69,16,0,4,0,9,12
50151,128,11,5,13,3,8,21,45,8,2,4,6,2,12
50152,401,6,14,39,8,34,104,152,23,1,9,2,9,12
50153,271,8,12,19,10,13,80,94,11,5,13,0,6,12
50157,825,22,42,77,38,96,117,333,12,8,44,11,25,12
50158,729,27,51,47,20,106,131,256,17,5,27,20,22,12
50159,163,3,4,16,5,8,30,68,12,4,2,4,7,12
50160,247,4,22,20,4,22,42,92,13,4,13,4,7,12
50163,618,5,46,70,17,89,130,158,38,3,32,13,17,12
50168,247,10,16,32,13,10,55,79,12,0,4,1,15,12
50169,154,5,2,16,6,10,47,45,7,0,5,1,10,12
50170,234,0,11,23,8,27,40,83,11,3,12,6,10,12
50171,201,2,11,25,9,11,37,75,3,3,6,11,8,12
50172,421,1,18,43,21,34,91,165,14,3,13,7,11,12
50173,644,38,46,50,20,47,120,243,31,2,20,9,18,12
50174,527,9,47,69,20,44,111,153,21,1,20,7,25,12
50175,281,8,18,29,5,24,90,74,22,0,2,2,7,12
50176,155,17,13,11,1,20,30,43,14,0,0,0,6,12
50177,323,30,14,22,15,27,55,107,13,5,18,0,17,12
50178,223,20,7,35,8,17,45,45,25,0,8,1,12,12
50179,174,59,4,12,6,11,21,39,13,1,1,2,5,12
50180,468,3,35,67,11,30,74,179,31,0,14,6,18,12
50181,764,8,39,48,32,54,212,278,39,0,18,14,22,12
50182,598,6,42,33,14,34,110,214,42,8,23,44,28,12
50183,419,8,17,44,13,24,102,138,45,0,4,6,18,12
50184,259,8,20,28,18,17,47,82,16,1,8,3,11,12
51435,819,23,67,48,77,117,146,243,19,12,32,15,20,12
51436,1203,17,82,87,179,163,193,308,14,26,69,28,37,12
51437,1042,19,72,82,128,126,179,303,15,22,48,17,31,12
51438,931,10,84,48,90,122,202,229,18,26,58,22,22,12
51439,1041,14,81,66,99,142,162,312,16,19,67,23,40,12
51440,1034,12,68,70,60,106,229,347,18,24,52,19,29,12
51441,922,12,83,91,79,70,178,281,5,30,44,22,27,12
51442,902,13,58,66,79,104,181,267,13,24,45,20,32,12
51443,653,12,30,34,50,88,146,199,4,16,46,7,21,12
51444,955,6,64,93,96,114,178,274,12,28,42,24,24,12
51445,704,4,31,23,25,100,186,239,10,8,33,19,26,12
51446,1017,22,55,57,106,94,192,327,17,27,63,23,34,12
51447,792,2,45,53,40,64,196,293,14,21,31,11,22,12
51448,943,20,47,93,55,121,215,269,15,20,37,27,24,12
51449,783,8,29,62,27,59,236,272,20,19,24,11,16,12
51450,1051,17,84,93,72,109,210,326,14,27,47,18,34,12
51451,1079,17,77,87,63,127,227,318,18,25,63,29,28,12
51452,896,13,50,21,45,168,194,266,9,23,57,14,36,12
51453,895,20,48,70,60,99,175,299,10,22,42,14,36,12
51454,688,10,40,34,57,103,135,199,9,18,43,19,21,12
51455,670,12,42,47,60,93,106,214,4,18,49,9,16,12
51456,1080,16,62,69,50,109,255,360,26,18,62,24,29,12
51457,1104,12,45,72,65,125,261,401,7,25,50,14,27,12
51458,1042,22,52,69,72,104,205,357,18,28,55,20,40,12
51459,781,11,33,61,40,71,211,249,21,15,32,15,22,12
51460,1030,15,53,82,51,117,235,339,17,19,52,19,31,12
51461,816,13,56,58,30,76,241,248,16,7,41,9,21,12
51462,893,7,61,57,30,65,276,297,15,11,35,11,28,12
51463,699,23,34,63,29,69,160,243,11,9,28,12,18,12
51464,366,25,14,44,19,34,101,91,3,4,15,5,11,12
51465,1059,19,71,73,92,95,206,378,16,19,57,11,22,12
51466,959,14,65,32,42,106,231,328,17,14,50,17,43,12
51467,865,20,44,45,55,73,215,313,6,22,37,15,20,12
51468,771,12,49,43,54,95,201,223,4,13,32,22,23,12
51469,1125,9,73,57,68,119,298,360,14,35,56,13,23,12
51470,987,15,55,52,79,124,225,306,11,26,44,14,36,12
51471,1055,17,56,91,30,81,242,407,23,18,41,19,30,12
51472,876,18,46,70,41,84,213,318,21,6,30,18,11,12
51473,867,10,43,78,28,69,195,334,29,9,33,9,30,12
51474,982,22,49,76,34,93,214,366,10,31,48,15,24,12
51475,890,7,77,92,32,69,188,324,15,13,34,18,21,12
51476,1005,14,73,83,46,76,248,347,17,15,33,28,25,12
51548,1038,9,62,77,92,112,191,362,9,16,62,19,27,12
51549,1059,10,56,83,84,120,204,361,19,14,57,26,25,12
51550,859,16,69,82,38,84,161,310,15,22,30,17,15,12
51551,1125,18,90,82,65,106,215,380,15,15,57,47,35,12
51552,916,7,79,75,48,117,171,293,14,13,63,18,18,12
51553,1072,12,87,71,83,117,230,355,11,14,49,18,25,12
51554,950,7,78,93,47,101,178,326,21,15,36,21,27,12
51555,1018,13,67,59,42,96,216,385,22,15,56,30,17,12
51556,889,11,55,73,43,112,196,279,15,16,50,18,21,12
51557,956,10,40,71,50,89,226,370,12,9,42,24,13,12
51558,981,10,67,85,45,91,166,365,26,16,53,34,23,12
51559,1033,19,57,78,48,115,226,371,16,8,43,20,32,12
51560,951,10,51,121,41,72,177,343,26,12,41,24,33,12
51561,1008,19,69,92,48,108,193,335,15,22,50,21,36,12
51562,1086,16,54,88,43,125,249,367,12,19,59,21,33,12
51563,982,22,47,85,54,89,207,366,18,2,37,30,25,12
51564,1044,20,87,67,58,104,208,360,23,13,48,23,33,12
51565,987,7,65,82,44,124,203,323,31,14,48,21,25,12
51566,795,8,40,64,65,108,145,241,11,17,54,20,22,12
51567,1080,18,64,79,78,118,222,341,22,18,61,19,40,12
51568,984,12,92,69,69,119,174,323,15,12,49,27,23,12
51569,1002,10,35,58,63,80,167,434,13,18,47,24,53,12
51571,1013,12,63,92,53,91,253,333,17,9,45,14,31,12
51572,104,4,10,13,5,9,22,25,3,0,6,3,4,12
51573,26,0,1,3,0,3,6,7,0,0,4,0,2,12
51574,11,0,1,1,0,2,2,3,0,0,0,1,1,12
51587,23,0,2,2,2,4,3,9,0,0,0,1,0,12
51588,25,0,2,1,0,5,7,8,0,0,2,0,0,12
51589,338,7,6,43,21,19,5,192,5,4,15,1,20,12
51590,391,11,6,102,10,4,30,174,8,2,5,2,37,12
51670,990,17,71,54,62,94,219,338,18,11,45,22,39,12
51674,1311,16,96,85,126,147,265,393,15,35,78,23,32,12
50375,269,1,7,25,4,37,75,62,44,0,6,3,5,13
50376,208,1,1,15,8,14,69,60,22,0,8,2,8,13
50377,490,14,31,39,19,24,71,184,83,4,14,1,6,13
50378,31,0,3,1,7,4,3,11,0,0,0,0,2,13
50379,144,10,7,12,14,15,22,49,10,1,1,0,3,13
50380,315,6,24,20,17,25,39,138,15,0,18,3,10,13
50381,841,12,48,69,24,93,195,262,58,3,28,11,38,13
50382,141,15,12,7,3,9,35,40,5,2,5,4,4,13
50383,342,6,18,31,17,23,71,111,30,4,10,13,8,13
50384,289,5,27,27,14,17,60,93,30,0,5,1,10,13
50385,256,3,6,18,12,17,103,58,15,0,10,10,4,13
50386,269,2,12,14,8,9,95,77,27,0,5,7,13,13
50387,580,3,21,34,16,32,117,271,39,5,17,10,15,13
50388,616,3,25,52,30,53,122,267,32,3,12,5,12,13
50389,275,3,10,9,11,23,100,67,35,2,2,1,12,13
50390,219,0,11,21,10,11,50,54,50,0,3,4,5,13
50391,167,3,7,17,5,12,29,58,22,0,3,1,10,13
50392,65,7,4,7,3,3,7,19,11,0,2,1,1,13
50393,855,9,44,55,64,80,153,329,41,7,35,19,19,13
50394,234,3,6,23,7,17,32,110,16,0,11,1,8,13
50395,494,8,17,24,10,23,160,195,37,2,4,1,13,13
50396,273,7,16,17,16,16,81,76,25,0,9,4,6,13
50397,143,5,8,8,7,10,41,46,9,0,4,2,3,13
50398,242,9,4,39,29,17,44,50,30,6,1,5,8,13
50399,170,7,3,11,9,13,45,41,32,0,2,0,7,13
50400,167,6,7,11,8,15,37,61,14,0,2,2,4,13
50401,426,3,6,36,14,40,142,107,51,1,11,4,11,13
50402,287,10,10,24,9,14,97,67,35,2,4,1,14,13
50403,245,11,22,22,13,21,45,54,41,0,8,1,7,13
50404,78,3,10,3,5,7,26,12,6,2,1,1,2,13
50405,142,1,8,8,9,11,34,36,19,0,4,7,5,13
50406,113,3,5,8,6,9,29,29,14,1,4,2,3,13
50407,347,6,17,26,23,17,44,157,36,2,5,4,10,13
50408,533,7,20,50,30,37,177,142,40,5,22,2,1,13
50409,364,14,10,32,25,17,75,118,51,2,3,7,10,13
50410,226,8,21,11,8,17,49,78,16,0,5,6,7,13
50411,731,5,39,58,37,34,140,303,47,6,28,10,24,13
50412,650,7,29,37,22,42,162,256,38,5,23,6,23,13
50413,387,1,22,7,22,16,177,101,17,0,14,4,6,13
50414,416,9,21,33,25,38,73,162,35,1,6,5,8,13
50415,722,8,38,44,25,85,137,291,46,1,26,5,16,13
50416,341,4,18,50,22,11,74,110,29,3,6,0,14,13
50417,146,3,6,25,5,3,63,23,12,2,0,0,4,13
50418,106,2,5,5,6,2,34,33,16,0,2,0,1,13
50419,264,2,3,24,5,11,78,90,28,1,16,0,6,13
50420,126,1,10,18,7,8,33,30,13,0,0,1,5,13
50421,110,1,2,4,5,10,20,40,22,0,3,0,3,13
50422,512,3,23,56,22,37,152,134,38,2,17,6,22,13
50423,1224,15,85,49,55,99,183,579,46,5,50,13,45,13
50424,856,15,74,53,46,87,172,303,22,15,26,25,18,13
50425,1148,11,79,77,67,136,250,388,27,7,47,31,28,13
50426,768,5,83,58,38,109,141,240,25,9,22,13,25,13
50427,977,13,68,67,53,151,145,334,37,12,56,19,22,13
50428,755,4,56,48,22,98,148,277,37,2,26,21,16,13
50429,987,10,49,54,65,102,138,430,29,4,43,15,48,13
50430,100,3,5,5,7,9,24,35,6,0,4,0,2,13
50431,133,1,4,10,11,4,34,32,26,0,3,4,4,13
50432,1153,8,83,92,58,110,193,435,38,7,55,34,40,13
50433,103,1,9,3,4,6,26,36,7,1,5,2,3,13
50434,283,4,49,19,17,10,40,88,39,0,10,2,5,13
50435,101,3,3,16,6,5,19,29,16,0,1,0,3,13
50436,101,2,1,14,6,2,11,38,22,2,0,0,3,13
50437,49,0,0,10,0,5,10,21,2,0,1,0,0,13
50438,49,4,1,2,2,5,7,15,9,1,1,0,2,13
50439,258,4,8,28,20,14,44,102,20,0,9,1,8,13
50440,86,1,8,16,5,6,6,28,6,0,0,1,9,13
50441,318,3,21,40,16,18,65,109,23,2,9,5,7,13
50442,411,4,24,42,8,34,83,141,33,2,23,1,16,13
50444,252,6,10,25,9,12,32,111,28,0,11,1,7,13
50445,100,2,1,6,0,4,12,52,15,0,5,0,3,13
50446,176,11,5,29,6,8,20,57,25,1,7,2,5,13
50447,302,12,9,44,9,33,49,85,45,2,2,3,9,13
50448,728,6,48,53,34,52,62,380,37,0,34,9,13,13
50449,573,10,27,47,28,33,40,304,33,0,22,11,18,13
50450,469,5,8,23,16,32,69,242,43,1,10,3,17,13
50451,239,3,10,27,17,13,21,90,27,1,13,4,13,13
50452,236,4,12,26,15,10,43,94,16,1,9,1,5,13
50453,707,25,38,44,29,64,148,249,42,3,32,10,23,13
50454,238,1,10,31,7,14,35,93,26,2,8,3,8,13
50455,126,2,1,5,11,7,22,37,16,0,7,0,18,13
50456,143,3,9,4,4,9,23,62,20,1,4,0,4,13
50457,49,4,4,7,3,5,7,15,2,0,1,1,0,13
50458,143,7,1,8,1,15,21,64,19,0,0,3,4,13
50459,332,5,14,28,12,42,31,146,34,0,8,3,9,13
50460,222,11,7,29,15,12,25,78,29,0,9,1,6,13
50461,181,4,6,24,8,9,17,69,16,0,13,7,8,13
50462,74,1,4,8,1,11,7,19,18,2,2,0,1,13
50463,246,5,19,13,10,6,48,110,20,0,9,0,6,13
50464,138,3,6,15,3,10,16,36,21,1,13,9,5,13
50465,33,0,2,9,2,2,6,9,2,0,1,0,0,13
50466,119,1,6,18,4,6,12,47,16,2,1,1,5,13
